"Identifiers","elem","nr"
5,"Wolne Miasto Gdańsk (1920-1939)","1"
3,"Rzeczpospolita Polska (1999-2016)","1"
6,"Wolne Państwo Saksonia (1919-1945)","1"
1,"Rzeczpospolita Polska (1918-1939)","1"
7,"Królestwo Prus (1806-1919)","1"
4,"Wolne Państwo Prusy (1920-1945)","1"
15,"Elektorat Saksonii (1545-1805)","1"
16,"Gubernium Morawsko-Śląskie (1783-1848)","1"
16,"","2"
14,"Rzeczpospolita Obojga Narodów (1569-1795)","1"
10,"Królestwo Galicji i Lodomerii (1867-1918)","1"
9,"Księstwo Górnego i Dolnego Śląska (1849-1918)","1"
11,"Królestwo Polskie (1843-1918)","1"
13,"Królestwo Prus (1713-1805)","1"
12,"Królestwo Saksonii (1806-1918)","1"
19,"Śląsk (1372-1742)","1"
18,"Królestwo Węgier (1200-1918)","1"
21,"Marchia Brandenburska (1540-1713)","1"
24,"System średniowieczny (do XIV w.)","1"
23,"Marchia Brandenburska (1323-1540)","1"
22,"Księstwo Siewierskie (1443-1790)","1"
17,"Królestwo Galicji i Lodomerii (1772-1848)","1"
17,"","2"
20,"Księstwo Pomorskie (1230-1648)","1"
25,"Państwo Krzyżackie (1226-1525)","1"
8,"Cesarstwo Rosyjskie (1775-1917)","1"
8,"","2"
