"Identifiers","Types","LevelsLinkUp","system_id","Levels","TypesId","MapLevel","MapName"
77,"type",78,13,20,"",40,"ziemia, cyrkuł, obwód, departament"
5,"subtype",10,1,20,"",30,"powiat, komturstwo, okręg"
26,"type",29,4,30,"",30,"powiat, komturstwo, okręg"
27,"subtype",26,4,30,"",30,"powiat, komturstwo, okręg"
28,"subtype",26,4,30,"",30,"powiat, komturstwo, okręg"
10,"type",11,1,20,"",30,"powiat, komturstwo, okręg"
39,"type",42,7,30,"",30,"powiat, komturstwo, okręg"
40,"subtype",39,7,30,"",30,"powiat, komturstwo, okręg"
46,"type",47,3,20,"",30,"powiat, komturstwo, okręg"
41,"subtype",39,7,30,"",30,"powiat, komturstwo, okręg"
133,"type",134,24,20,86,70,"gubernium, wolne państwo stanowe, księstwo zależne, dzielnica, marchia, hrabstwo, margrabstwo"
63,"type",64,10,20,"",30,"powiat, komturstwo, okręg"
69,"type",70,11,30,"",30,"powiat, komturstwo, okręg"
74,"type",77,13,10,"",30,"powiat, komturstwo, okręg"
75,"subtype",74,13,10,"",30,"powiat, komturstwo, okręg"
80,"type",81,14,10,"",30,"powiat, komturstwo, okręg"
25,"type",26,4,20,"",20,"wójtostwo, okręg, prokuratorstwo"
68,"type",69,11,20,"",20,"wójtostwo, okręg, prokuratorstwo"
92,"type",93,17,20,"",30,"powiat, komturstwo, okręg"
96,"type",97,18,10,"",30,"powiat, komturstwo, okręg"
111,"type",112,19,10,"",30,"powiat, komturstwo, okręg"
38,"type",39,7,20,"",20,"wójtostwo, okręg, prokuratorstwo"
9,"type",10,1,10,"",10,"gmina, obszar dworski, dominium"
129,"type",130,23,30,30,60,"prowincja, starostwo generalne, generalne gubernatorstwo"
112,"type",113,19,20,86,70,"gubernium, wolne państwo stanowe, księstwo zależne, dzielnica, marchia, hrabstwo, margrabstwo"
121,"type",122,21,10,"",30,"powiat, komturstwo, okręg"
141,"subtype",139,25,20,"",30,"powiat, komturstwo, okręg"
127,"type",128,23,10,"",20,"wójtostwo, okręg, prokuratorstwo"
136,"type",139,25,10,"",20,"wójtostwo, okręg, prokuratorstwo"
72,"type","",11,60,57,100,"państwo złożone,cesarstwo,monarchia złożona,państwo związkowe"
57,"type","",8,60,57,100,"państwo złożone,cesarstwo,monarchia złożona,państwo związkowe"
137,"subtype",136,25,10,"",20,"wójtostwo, okręg, prokuratorstwo"
138,"subtype",136,25,10,"",20,"wójtostwo, okręg, prokuratorstwo"
24,"type",25,4,10,"",10,"gmina, obszar dworski, dominium"
99,"type","",17,60,100,100,"państwo złożone,cesarstwo,monarchia złożona,państwo związkowe"
100,"type","",10,50,100,100,"państwo złożone,cesarstwo,monarchia złożona,państwo związkowe"
101,"type","",7,70,101,100,"państwo złożone,cesarstwo,monarchia złożona,państwo związkowe"
102,"type","",12,20,101,100,"państwo złożone,cesarstwo,monarchia złożona,państwo związkowe"
105,"type","",18,50,100,100,"państwo złożone,cesarstwo,monarchia złożona,państwo związkowe"
107,"type","",9,30,100,100,"państwo złożone,cesarstwo,monarchia złożona,państwo związkowe"
108,"type","",15,30,108,100,"państwo złożone,cesarstwo,monarchia złożona,państwo związkowe"
109,"type","",16,20,100,100,"państwo złożone,cesarstwo,monarchia złożona,państwo związkowe"
110,"type","",13,50,108,100,"państwo złożone,cesarstwo,monarchia złożona,państwo związkowe"
114,"type","",19,40,100,100,"państwo złożone,cesarstwo,monarchia złożona,państwo związkowe"
54,"subtype",52,8,40,"",50,"województwo, gubernia, komitat, obwód, rejencja, landwójtostwo"
35,"subtype",37,7,10,"",10,"gmina, obszar dworski, dominium"
36,"subtype",37,7,10,"",10,"gmina, obszar dworski, dominium"
123,"type",124,21,30,30,60,"prowincja, starostwo generalne, generalne gubernatorstwo"
12,"type","",1,40,"",80,"państwo, królestwo, samodzielne księstwo, marchia, kraj koronny, elektorat, wolne miasto"
