http://purl.org/ontohgis#hasExternalIdentifier,Entity
1,http://purl.org/ontohgis#settlement_unit1
2,http://purl.org/ontohgis#settlement_unit2
3,http://purl.org/ontohgis#settlement_unit3
4,http://purl.org/ontohgis#settlement_unit4
5,http://purl.org/ontohgis#settlement_unit5
6,http://purl.org/ontohgis#settlement_unit6
7,http://purl.org/ontohgis#settlement_unit7
8,http://purl.org/ontohgis#settlement_unit8
9,http://purl.org/ontohgis#settlement_unit9
10,http://purl.org/ontohgis#settlement_unit10
11,http://purl.org/ontohgis#settlement_unit11
12,http://purl.org/ontohgis#settlement_unit12
13,http://purl.org/ontohgis#settlement_unit13
14,http://purl.org/ontohgis#settlement_unit14
15,http://purl.org/ontohgis#settlement_unit15
16,http://purl.org/ontohgis#settlement_unit16
17,http://purl.org/ontohgis#settlement_unit17
18,http://purl.org/ontohgis#settlement_unit18
19,http://purl.org/ontohgis#settlement_unit19
20,http://purl.org/ontohgis#settlement_unit20
21,http://purl.org/ontohgis#settlement_unit21
22,http://purl.org/ontohgis#settlement_unit22
23,http://purl.org/ontohgis#settlement_unit23
24,http://purl.org/ontohgis#settlement_unit24
25,http://purl.org/ontohgis#settlement_unit25
26,http://purl.org/ontohgis#settlement_unit26
27,http://purl.org/ontohgis#settlement_unit27
28,http://purl.org/ontohgis#settlement_unit28
29,http://purl.org/ontohgis#settlement_unit29
30,http://purl.org/ontohgis#settlement_unit30
31,http://purl.org/ontohgis#settlement_unit31
32,http://purl.org/ontohgis#settlement_unit32
33,http://purl.org/ontohgis#settlement_unit33
34,http://purl.org/ontohgis#settlement_unit34
35,http://purl.org/ontohgis#settlement_unit35
36,http://purl.org/ontohgis#settlement_unit36
37,http://purl.org/ontohgis#settlement_unit37
38,http://purl.org/ontohgis#settlement_unit38
39,http://purl.org/ontohgis#settlement_unit39
40,http://purl.org/ontohgis#settlement_unit40
41,http://purl.org/ontohgis#settlement_unit41
42,http://purl.org/ontohgis#settlement_unit42
43,http://purl.org/ontohgis#settlement_unit43
44,http://purl.org/ontohgis#settlement_unit44
45,http://purl.org/ontohgis#settlement_unit45
46,http://purl.org/ontohgis#settlement_unit46
47,http://purl.org/ontohgis#settlement_unit47
48,http://purl.org/ontohgis#settlement_unit48
49,http://purl.org/ontohgis#settlement_unit49
50,http://purl.org/ontohgis#settlement_unit50
51,http://purl.org/ontohgis#settlement_unit51
52,http://purl.org/ontohgis#settlement_unit52
53,http://purl.org/ontohgis#settlement_unit53
54,http://purl.org/ontohgis#settlement_unit54
55,http://purl.org/ontohgis#settlement_unit55
56,http://purl.org/ontohgis#settlement_unit56
57,http://purl.org/ontohgis#settlement_unit57
58,http://purl.org/ontohgis#settlement_unit58
59,http://purl.org/ontohgis#settlement_unit59
60,http://purl.org/ontohgis#settlement_unit60
61,http://purl.org/ontohgis#settlement_unit61
62,http://purl.org/ontohgis#settlement_unit62
63,http://purl.org/ontohgis#settlement_unit63
64,http://purl.org/ontohgis#settlement_unit64
65,http://purl.org/ontohgis#settlement_unit65
66,http://purl.org/ontohgis#settlement_unit66
67,http://purl.org/ontohgis#settlement_unit67
68,http://purl.org/ontohgis#settlement_unit68
69,http://purl.org/ontohgis#settlement_unit69
70,http://purl.org/ontohgis#settlement_unit70
71,http://purl.org/ontohgis#settlement_unit71
72,http://purl.org/ontohgis#settlement_unit72
73,http://purl.org/ontohgis#settlement_unit73
74,http://purl.org/ontohgis#settlement_unit74
75,http://purl.org/ontohgis#settlement_unit75
76,http://purl.org/ontohgis#settlement_unit76
77,http://purl.org/ontohgis#settlement_unit77
78,http://purl.org/ontohgis#settlement_unit78
79,http://purl.org/ontohgis#settlement_unit79
80,http://purl.org/ontohgis#settlement_unit80
81,http://purl.org/ontohgis#settlement_unit81
82,http://purl.org/ontohgis#settlement_unit82
83,http://purl.org/ontohgis#settlement_unit83
84,http://purl.org/ontohgis#settlement_unit84
85,http://purl.org/ontohgis#settlement_unit85
86,http://purl.org/ontohgis#settlement_unit86
87,http://purl.org/ontohgis#settlement_unit87
88,http://purl.org/ontohgis#settlement_unit88
89,http://purl.org/ontohgis#settlement_unit89
90,http://purl.org/ontohgis#settlement_unit90
91,http://purl.org/ontohgis#settlement_unit91
92,http://purl.org/ontohgis#settlement_unit92
93,http://purl.org/ontohgis#settlement_unit93
94,http://purl.org/ontohgis#settlement_unit94
95,http://purl.org/ontohgis#settlement_unit95
96,http://purl.org/ontohgis#settlement_unit96
97,http://purl.org/ontohgis#settlement_unit97
98,http://purl.org/ontohgis#settlement_unit98
99,http://purl.org/ontohgis#settlement_unit99
100,http://purl.org/ontohgis#settlement_unit100
101,http://purl.org/ontohgis#settlement_unit101
102,http://purl.org/ontohgis#settlement_unit102
103,http://purl.org/ontohgis#settlement_unit103
104,http://purl.org/ontohgis#settlement_unit104
105,http://purl.org/ontohgis#settlement_unit105
106,http://purl.org/ontohgis#settlement_unit106
107,http://purl.org/ontohgis#settlement_unit107
108,http://purl.org/ontohgis#settlement_unit108
109,http://purl.org/ontohgis#settlement_unit109
110,http://purl.org/ontohgis#settlement_unit110
111,http://purl.org/ontohgis#settlement_unit111
112,http://purl.org/ontohgis#settlement_unit112
113,http://purl.org/ontohgis#settlement_unit113
